"","title","text","star","page","doc_id"
"28","Might not be very comfortable if you wear glasses","I returned this headphone because it didn't really feel comfortable for me. After less than 30 minutes wearing it, it would start to feel discomfort as the ""on-ear"" style puts all the pressure on your ear and in my case it then goes to press on the glasses frame which was annoying.The headphone itself sounded ok and was easy to pair up and connect to my devices. In the end, I went for the Sony WH-CH720N ""over-ear"" design, it's pricier but now I can wear it for hours without any discomfort. For sure the size of the WH-CH520 is smaller but in my case I am using them at home so I don't have particular concerns around travelling with them.","3.0 out of 5 stars",3,28
"29","Great sound and long battery life.","Loving these headphones, the only reason I can think of, not to buy them, is if you absolutely need noise cancelling.","5.0 out of 5 stars",3,29
"30","Great headhones","I have only worn around the house, but perfect for what I need","5.0 out of 5 stars",3,30
"31","Good headphones","Great sound. Comfortable, great battery life , great price too !!","4.0 out of 5 stars",4,31
"32","Very long battery life, not quite noise cancelling but good sound quality.","These have a very long battery life, they aren't very noise cancelling but good sound quality and very comfortable.","5.0 out of 5 stars",4,32
"33","Worth it","Good headphone for the price you pay. Not many complaints. It will make your ears sore if you wear for a long time. But eventually they adjust and the soreness goes away. This is an upgrade if you have AirPods.","5.0 out of 5 stars",4,33
"34","Highly recommend","Great value for money! They have the aesthetic I was going for and with an affordable price!","5.0 out of 5 stars",4,34
"35","Happy","Very pleased with my earphones.","5.0 out of 5 stars",4,35
"36","Love them","Great sound and battery last for ages","5.0 out of 5 stars",4,36
"37","Great!!","Really good headphones, they really don’t lose battery life at all! Sound is great, very comfortable and I have many ear piercings. I also wear makeup and they’re easy to clean😂","5.0 out of 5 stars",4,37
"38","Wireless headphones","Great overall.Thank you","5.0 out of 5 stars",4,38
"39","Very good for the money","Decent sound, VERY comfortable, easy to set up.","5.0 out of 5 stars",4,39
"40","Grey?","Firstly, I purchased the white finish; the 'phones are not white but a very light grey.It is not possible to have the earphones charging and use them at the same time, (if you had a long charging cable) but perhaps this is for safety reasons. The WH-CH520 are a nice design, seemed well made and the controls were nicely laid out. I found them comfortable as well.Sound quality wise I'm left disappointed. The midrange is forward (the voice area of the audio spectrum) and the bass is lacking. I have a pair of AKG K24P on-ear headphones from about 20 years ago that cost around £30 when purchased and, in my opinion of course, are superior to these CH520's. I've returned them for refund.","3.0 out of 5 stars",4,40
"41","Fantastic","Brilliant sound and unreal battery life you end up forgetting they even need charging","5.0 out of 5 stars",5,41
"42","Sony Headphones","Great headphones for the price and the sound is quality.","5.0 out of 5 stars",5,42
"43","Reliable","I was abit suspect about sony headphone's a s the base wasn't good with their previous headphones but I have to say that there new range of headphone's have great base and are real good qualityThese headphones are very clear sound and have a good base and I would recomend them to anyone","5.0 out of 5 stars",5,43
"44","Impressed","I ordered the Beige and loved them immediately, the colour is lovely at first glance and they are smooth, light weight and fit very comfortably! I do have a small head and with sensory issues always find headphones too big/heavy, they fit snuggly round the ear and have plenty of cushioning and I bearly notice I'm wearing them. Sound quality is pleasing and they were very easy to connect to my Nokia phone,Very reasonably priced as well!I'm sure there are better quality headphones on the market but for the price these are all the things I needed so 10/10 I found them sensory friendly 😊","5.0 out of 5 stars",5,44
"45","Great colour and comfy but not amazing sound","The colour and feel of the headphones is great. Really comfy, easily foldable and easy to use. The quality of the sound however is not great. No better than the cheaper headphones I had previously that weren't Sony.","3.0 out of 5 stars",5,45
"46","Value for money","light and easy to use with long battery life","5.0 out of 5 stars",5,46
"47","EVERYTHING","There is literally NOTHING bad about these headphones. Forget your hundreds of pounds ones, these are your next buy. Comfy, sound is next level, they look slick and come in 4 colours…the list goes on. Sony don’t mess about when it comes to sound and neither should you…buy these NOW. You will NOT regret it. D","5.0 out of 5 stars",5,47
"48","Nice","Good quality and lovely colour.Could be a little more sound proof","5.0 out of 5 stars",5,48
"49","Great product!","Love these headphones, sounds quality is great and they’re comfortable to wear.","5.0 out of 5 stars",5,49
"50","Best purchase","I have skeptical about these headphones and it turned out to be pretty good. In my opinion in this price range its best option.","5.0 out of 5 stars",5,50
"51","Okay","Just ok, you can only connect it a limited amount of places","3.0 out of 5 stars",6,51
"52","Good but plastic throughout","Good but not great sound, low on bass.Battery life is great.Unfortunately cheaply made, plastic throughout, no metal.Expected better build quality for the price.","3.0 out of 5 stars",6,52
"53","Excellent quality","It definitely has better sound and bass quality than the CH-500 I used before. He drowned out the sound of the outside environment beautifully. You just focus on your music. In short, I think this quality is really good at this price.","5.0 out of 5 stars",6,53
"54","Great bluetooth headphones.","I got these for my wife who usually wears hearing aids and she loves them.","5.0 out of 5 stars",6,54
"55","Bluetooth connection breaking","tends to break the Bluetooth connection","3.0 out of 5 stars",6,55
"56","a swell little doodad to purchase","after receiving the Sony WH-CH520 Wireless Bluetooth Headphones i certain i exclaimed ""Alas! my Sony WH-CH520 Wireless Bluetooth Headphones have arrived!""the Sony WH-CH520 Wireless Bluetooth Headphones bring comfort and joy to my headphones and i think the Sony WH-CH520 Wireless Bluetooth Headphones are second to none. I'd heard mixed reviews about the Sony WH-CH520 Wireless Bluetooth Headphones, but personally i think the Sony WH-CH520 Wireless Bluetooth Headphones hold up. The Sony WH-CH520 Wireless Bluetooth Headphones have a swell little price and i will certainly be buying the Sony WH-CH520 Wireless Bluetooth Headphones again. thank you amazon for the Sony WH-CH520 Wireless Bluetooth Headphones","5.0 out of 5 stars",6,56
